"Dissemination Area (DA)","Province","DA Population","Residential instability Quintiles","Residential instability Scores","Ethno-cultural composition Quintiles","Ethno-cultural composition Scores","Economic dependency Quintiles","Economic dependency Scores","Situational vulnerability Quintiles","Situational vulnerability Scores"
13010140,New Brunswick,890,5,1.256,3,-0.31,2,-0.571,5,0.5
13010141,New Brunswick,875,2,-0.81,2,-0.783,2,-0.455,4,0.131
13010143,New Brunswick,300,2,-0.491,1,-0.926,3,-0.039,2,-0.476
13010144,New Brunswick,595,2,-0.827,1,-0.926,2,-0.431,3,-0.098
13010146,New Brunswick,95,5,1.445,1,-0.821,4,0.585,4,0.339
13010147,New Brunswick,610,5,2.142,2,-0.567,4,0.589,1,-0.675
13010148,New Brunswick,425,5,1.919,3,-0.135,2,-0.746,4,0.069
13010149,New Brunswick,475,5,1.84,4,0.08,4,0.24,4,0.14
13010150,New Brunswick,230,5,2.116,1,-1.029,2,-0.518,5,0.646
13010151,New Brunswick,520,5,1.499,3,-0.494,3,-0.245,5,0.954
13010152,New Brunswick,395,2,-0.557,1,-0.866,5,0.697,4,0.271
13010153,New Brunswick,450,5,1.155,4,-0.089,1,-0.826,3,-0.096
13010154,New Brunswick,750,3,-0.464,1,-0.908,3,0.096,3,-0.162
13010155,New Brunswick,525,2,-0.575,1,-0.8,5,1.604,4,0.237
13010156,New Brunswick,240,4,0.356,1,-1.18,5,1.588,4,0.048
13010157,New Brunswick,735,2,-0.504,1,-0.869,3,-0.217,4,0.279
13010158,New Brunswick,880,2,-0.787,1,-0.826,2,-0.338,3,-0.033
13010159,New Brunswick,690,2,-0.775,1,-0.927,2,-0.451,4,-0.007
13010160,New Brunswick,445,1,-0.966,2,-0.775,3,-0.051,4,0.109
13010161,New Brunswick,715,2,-0.654,1,-0.876,3,-0.231,4,0.235
13010162,New Brunswick,590,3,-0.135,2,-0.778,1,-0.987,4,0.258
13010163,New Brunswick,580,2,-0.763,1,-0.925,5,0.911,2,-0.543
13010164,New Brunswick,590,2,-0.524,1,-0.939,4,0.186,4,0.096
13010165,New Brunswick,660,2,-0.652,1,-0.884,3,-0.012,3,-0.326
13020051,New Brunswick,75,4,0.043,1,-1.277,5,0.844,3,-0.268
13020052,New Brunswick,585,2,-0.587,2,-0.687,3,-0.197,4,0.195
13020053,New Brunswick,370,2,-0.581,1,-0.904,5,0.711,5,0.548
13020054,New Brunswick,595,2,-0.664,2,-0.736,2,-0.359,4,0.056
13020055,New Brunswick,530,2,-0.608,2,-0.78,5,0.746,4,0.239
13020056,New Brunswick,920,2,-0.646,2,-0.693,4,0.169,3,-0.177
13020057,New Brunswick,545,3,-0.484,3,-0.494,4,0.2,4,0.266
13020058,New Brunswick,395,3,-0.185,1,-0.831,4,0.647,5,0.64
13020059,New Brunswick,515,4,0.357,1,-1.022,4,0.603,2,-0.39
13020060,New Brunswick,485,4,-0.015,2,-0.545,2,-0.677,2,-0.591
13020061,New Brunswick,620,4,-0.025,3,-0.477,4,0.411,5,0.67
13020062,New Brunswick,295,3,-0.22,3,-0.386,3,0.007,5,0.592
13020063,New Brunswick,435,2,-0.705,2,-0.736,4,0.248,5,0.827
13020064,New Brunswick,445,3,-0.286,1,-1.031,3,-0.022,3,-0.319
13020065,New Brunswick,415,3,-0.275,1,-0.887,2,-0.543,4,0.024
13020066,New Brunswick,490,3,-0.06,1,-1.016,5,0.895,5,0.667
13020067,New Brunswick,315,2,-0.721,1,-1.055,4,0.179,1,-0.804
13020068,New Brunswick,555,2,-0.485,3,-0.442,5,1.469,5,0.666
13020069,New Brunswick,375,2,-0.628,2,-0.68,4,0.6,2,-0.566
13020070,New Brunswick,430,3,-0.308,1,-0.971,4,0.575,4,0.044
13020071,New Brunswick,305,4,0.139,2,-0.686,5,1.167,3,-0.1
13020072,New Brunswick,565,2,-0.765,1,-0.821,4,0.422,2,-0.494
13020074,New Brunswick,635,3,-0.036,1,-0.904,4,0.673,1,-1.072
13020075,New Brunswick,390,4,0.242,1,-0.817,2,-0.426,3,-0.215
13020076,New Brunswick,395,4,0.242,1,-0.789,5,1.041,1,-0.785
13020077,New Brunswick,480,3,-0.07,2,-0.73,4,0.316,4,0
13020078,New Brunswick,685,3,-0.35,2,-0.657,4,0.136,3,-0.129
13020079,New Brunswick,560,1,-1.003,1,-0.886,4,0.529,2,-0.535
13020080,New Brunswick,390,3,-0.095,3,-0.497,4,0.63,2,-0.356
13020081,New Brunswick,485,2,-0.641,1,-1.087,3,-0.05,3,-0.294
13020082,New Brunswick,515,3,-0.259,1,-0.804,4,0.52,4,0.077
13020083,New Brunswick,310,2,-0.63,2,-0.785,4,0.401,5,0.774
13020084,New Brunswick,490,3,-0.323,1,-0.961,3,-0.1,4,0.423
13020085,New Brunswick,320,1,-0.922,1,-0.994,4,0.451,4,0.057
13020086,New Brunswick,355,2,-0.635,1,-1.005,3,-0.188,3,-0.2
13020087,New Brunswick,505,4,0.429,2,-0.667,3,-0.101,3,-0.038
13020088,New Brunswick,470,4,0.254,1,-0.903,4,0.467,3,-0.298
13020089,New Brunswick,490,4,0.21,2,-0.716,3,-0.028,3,-0.018
13020090,New Brunswick,455,5,0.865,2,-0.687,3,-0.112,4,0.369
13020091,New Brunswick,410,3,-0.424,1,-1.056,3,0.055,3,-0.328
13020092,New Brunswick,670,5,1.652,2,-0.587,5,2.132,2,-0.482
13020093,New Brunswick,500,4,0.427,2,-0.754,4,0.354,5,0.982
13020094,New Brunswick,470,4,0.658,2,-0.666,2,-0.38,5,1.182
13020095,New Brunswick,420,4,0.234,3,-0.253,4,0.286,5,1.12
13020096,New Brunswick,315,2,-0.571,2,-0.659,5,1.12,5,0.998
13020097,New Brunswick,390,2,-0.569,1,-0.898,2,-0.317,4,0.403
13020098,New Brunswick,550,1,-0.829,1,-0.824,5,0.862,5,0.963
13020099,New Brunswick,335,2,-0.543,1,-0.858,5,0.964,4,0.182
13020100,New Brunswick,635,2,-0.649,1,-0.929,5,1.095,4,0.096
13020101,New Brunswick,840,3,-0.263,1,-1.04,2,-0.731,3,-0.058
13020102,New Brunswick,100,3,-0.467,1,-1.315,5,0.754,3,-0.051
13020103,New Brunswick,505,4,-0.029,1,-0.952,2,-0.438,5,0.761
13020104,New Brunswick,245,3,-0.086,1,-1.077,5,1.069,3,-0.188
13020105,New Brunswick,310,3,-0.233,1,-1.003,3,0.077,5,0.492
13020106,New Brunswick,650,3,-0.341,1,-0.988,4,0.565,5,0.622
13030044,New Brunswick,540,3,-0.311,1,-0.912,5,0.85,5,0.502
13030045,New Brunswick,535,2,-0.796,1,-1.004,1,-1.026,2,-0.364
13030046,New Brunswick,520,3,-0.351,2,-0.751,4,0.257,3,-0.28
13030047,New Brunswick,375,2,-0.651,1,-0.97,3,-0.191,3,-0.093
13030048,New Brunswick,435,3,-0.097,1,-1.04,3,-0.123,4,0.158
13030049,New Brunswick,800,2,-0.802,1,-0.87,1,-1.282,3,-0.198
13030050,New Brunswick,460,3,-0.341,2,-0.743,4,0.237,5,0.957
13030051,New Brunswick,725,4,0.631,1,-0.845,2,-0.392,5,1.178
13030052,New Brunswick,270,2,-0.644,1,-1.216,1,-1.272,2,-0.625
13030053,New Brunswick,510,2,-0.569,1,-0.992,1,-0.814,2,-0.338
13030054,New Brunswick,370,3,-0.168,1,-1.008,4,0.264,3,-0.149
13030055,New Brunswick,2265,3,-0.48,1,-0.902,1,-1.564,3,-0.249
13030056,New Brunswick,465,2,-0.729,1,-0.995,1,-0.826,2,-0.605
13030057,New Brunswick,475,1,-1.019,1,-0.931,1,-1.431,3,-0.132
13030058,New Brunswick,850,4,0.104,2,-0.628,4,0.332,3,-0.266
13030059,New Brunswick,1140,1,-0.967,1,-0.98,1,-1.143,2,-0.59
13030060,New Brunswick,605,3,-0.19,1,-0.983,1,-1.182,2,-0.42
13030061,New Brunswick,635,3,-0.052,1,-0.89,3,-0.204,2,-0.497
13030062,New Brunswick,715,2,-0.67,1,-0.856,1,-1.845,2,-0.57
13030063,New Brunswick,435,2,-0.533,1,-0.871,1,-1.336,2,-0.541
13030064,New Brunswick,340,4,0.309,1,-1.322,2,-0.522,2,-0.572
13030065,New Brunswick,550,5,1.235,1,-1.592,1,-2.865,5,0.939
13030066,New Brunswick,400,5,1.16,2,-0.733,5,0.897,4,0.21
13030067,New Brunswick,380,4,0.548,1,-0.956,1,-0.818,3,-0.01
13030069,New Brunswick,465,5,1.397,1,-1.133,1,-2.899,3,-0.052
13030070,New Brunswick,440,5,1.227,1,-1.584,1,-2.525,5,1.318
13030071,New Brunswick,415,5,1.173,1,-0.917,1,-2.778,4,0.339
13030072,New Brunswick,465,4,0.368,2,-0.773,1,-2.473,4,0.009
13030074,New Brunswick,145,5,1.95,1,-2.02,1,-3.223,5,0.769
13030077,New Brunswick,440,2,-0.612,2,-0.703,2,-0.64,5,0.473
13030078,New Brunswick,450,1,-0.889,1,-0.921,4,0.591,3,-0.158
13030079,New Brunswick,660,1,-0.972,1,-0.957,3,-0.273,3,-0.284
13030080,New Brunswick,940,1,-1.065,1,-0.82,1,-1.085,3,-0.114
13030083,New Brunswick,380,3,-0.256,1,-0.954,4,0.119,4,0.078
13030085,New Brunswick,510,2,-0.727,1,-0.831,3,-0.038,5,0.879
13030086,New Brunswick,535,2,-0.769,1,-0.818,2,-0.376,4,0.325
13030087,New Brunswick,405,2,-0.525,1,-1.106,4,0.326,3,-0.135
13030088,New Brunswick,720,2,-0.577,2,-0.757,5,0.857,4,0.38
13030089,New Brunswick,610,2,-0.739,1,-0.966,3,0.099,5,0.994
13030090,New Brunswick,480,3,-0.36,1,-0.892,3,-0.038,4,0.311
13030091,New Brunswick,360,2,-0.737,1,-0.901,2,-0.428,5,0.532
13030092,New Brunswick,355,2,-0.731,1,-1.017,1,-1.636,3,-0.079
13030093,New Brunswick,765,2,-0.672,1,-0.981,1,-0.776,3,-0.292
13030094,New Brunswick,845,2,-0.702,2,-0.74,2,-0.746,4,0.184
13030103,New Brunswick,570,4,0.301,1,-0.791,1,-1.965,3,-0.318
13030104,New Brunswick,470,3,-0.476,1,-0.809,2,-0.431,4,0.171
13030105,New Brunswick,100,1,-0.859,1,-1.25,1,-1.863,1,-0.781
13030106,New Brunswick,690,2,-0.659,1,-0.822,2,-0.506,5,0.454
13030109,New Brunswick,425,5,1.55,1,-1.002,3,-0.154,2,-0.347
13030111,New Brunswick,295,4,0.436,3,-0.327,3,0.087,5,4.407
13040035,New Brunswick,505,2,-0.536,1,-1.046,5,0.754,4,0.039
13040036,New Brunswick,405,3,-0.083,1,-1.233,5,1.327,3,-0.167
13040038,New Brunswick,470,3,-0.21,2,-0.571,5,1.185,4,0.308
13040040,New Brunswick,565,2,-0.647,1,-0.86,5,0.726,5,0.511
13040041,New Brunswick,325,2,-0.596,1,-1.005,5,1.829,4,0.406
13040042,New Brunswick,735,3,-0.177,1,-0.948,5,0.962,4,0.254
13040043,New Brunswick,215,2,-0.592,1,-0.861,5,2.09,5,0.8
13040044,New Brunswick,600,3,-0.427,1,-0.962,5,1.836,3,-0.082
13040045,New Brunswick,495,2,-0.76,1,-0.936,5,1.55,4,0.409
13040046,New Brunswick,640,3,-0.358,1,-1.13,5,0.729,2,-0.512
13040047,New Brunswick,365,2,-0.559,1,-0.968,3,0.092,5,0.482
13040048,New Brunswick,335,3,-0.044,1,-0.835,5,1.893,4,0.194
13040049,New Brunswick,395,3,-0.44,1,-1.012,5,1.083,3,-0.066
13040050,New Brunswick,340,3,-0.404,1,-0.957,5,1.361,5,0.538
13040051,New Brunswick,370,2,-0.656,1,-1.03,2,-0.401,3,-0.236
13040052,New Brunswick,670,2,-0.498,1,-0.947,5,0.894,3,-0.276
13040053,New Brunswick,360,2,-0.52,1,-0.997,5,0.912,4,0.366
13040054,New Brunswick,355,3,-0.153,1,-1.021,5,0.859,3,-0.025
13040055,New Brunswick,385,4,0.633,1,-0.854,5,0.868,5,0.866
13040056,New Brunswick,390,4,0.784,2,-0.579,5,1.528,5,1.86
13040057,New Brunswick,440,4,0.061,1,-0.862,5,0.941,4,0.234
13040058,New Brunswick,320,3,-0.424,1,-0.843,5,1.666,5,0.749
13040059,New Brunswick,270,3,-0.365,1,-0.925,4,0.296,5,1.396
13040060,New Brunswick,325,4,0.168,1,-1.12,5,0.789,5,1.015
13040062,New Brunswick,430,3,-0.466,1,-0.943,5,1.071,4,0.371
13050084,New Brunswick,580,3,-0.467,1,-0.976,3,-0.257,4,0.187
13050085,New Brunswick,465,2,-0.488,1,-0.882,5,0.751,5,0.555
13050086,New Brunswick,535,2,-0.566,1,-0.936,3,0.056,4,0.028
13050087,New Brunswick,485,3,-0.217,1,-0.984,5,0.856,4,0.328
13050088,New Brunswick,415,2,-0.732,1,-0.867,5,0.695,2,-0.521
13050089,New Brunswick,540,4,0.16,1,-0.809,5,0.809,5,0.633
13050090,New Brunswick,475,2,-0.763,1,-0.929,4,0.373,3,-0.244
13050091,New Brunswick,590,4,0.158,1,-0.825,5,1.329,4,0.195
13050092,New Brunswick,630,3,-0.237,1,-0.974,3,-0.235,2,-0.642
13050093,New Brunswick,390,4,0.138,1,-0.885,4,0.241,3,-0.025
13050094,New Brunswick,405,2,-0.77,1,-1.14,1,-0.924,2,-0.582
13050095,New Brunswick,465,2,-0.731,2,-0.666,3,-0.109,4,0.316
13050096,New Brunswick,565,1,-1.057,1,-0.929,2,-0.59,2,-0.479
13050097,New Brunswick,610,4,0.649,3,-0.212,5,0.982,4,0.177
13050098,New Brunswick,410,4,0.65,1,-0.823,4,0.647,5,1.125
13050099,New Brunswick,455,5,0.828,3,-0.428,3,0.009,5,0.896
13050100,New Brunswick,510,4,0.654,1,-0.907,5,1.762,4,0.172
13050101,New Brunswick,615,4,0.574,3,-0.395,4,0.329,3,-0.09
13050102,New Brunswick,350,1,-0.941,1,-0.906,4,0.577,2,-0.422
13050103,New Brunswick,640,2,-0.642,1,-0.892,4,0.349,3,-0.136
13050104,New Brunswick,385,2,-0.799,1,-1.033,2,-0.327,2,-0.374
13050105,New Brunswick,525,3,-0.339,1,-0.874,3,-0.245,4,0.44
13050106,New Brunswick,590,1,-0.901,2,-0.786,3,-0.118,4,0.326
13050107,New Brunswick,640,2,-0.618,1,-0.993,4,0.118,3,-0.053
13050108,New Brunswick,455,2,-0.547,1,-0.812,4,0.487,4,0.286
13050109,New Brunswick,430,2,-0.525,1,-0.998,2,-0.524,4,0.092
13050110,New Brunswick,595,3,-0.298,1,-0.893,3,0.031,5,0.476
13050111,New Brunswick,760,1,-0.915,1,-0.885,3,-0.178,3,-0.046
13050112,New Brunswick,390,3,-0.424,1,-0.913,4,0.268,4,0.36
13050113,New Brunswick,450,2,-0.598,2,-0.672,3,-0.254,5,1.019
13050114,New Brunswick,520,3,-0.232,1,-1.007,3,0.104,3,-0.088
13050115,New Brunswick,550,1,-1.074,1,-0.834,3,-0.012,4,0.22
13050116,New Brunswick,555,2,-0.525,1,-0.801,2,-0.624,4,0.001
13050117,New Brunswick,555,3,-0.254,1,-0.938,2,-0.665,3,-0.043
13050118,New Brunswick,620,1,-1.222,1,-0.978,3,-0.044,1,-0.659
13050119,New Brunswick,730,1,-0.969,1,-1.03,1,-1.278,1,-0.828
13050120,New Brunswick,615,1,-1.003,1,-0.955,2,-0.622,1,-0.776
13050121,New Brunswick,300,1,-1.048,1,-1.016,5,1.4,1,-1.102
13050122,New Brunswick,610,2,-0.736,1,-1.109,1,-1.929,1,-0.679
13050123,New Brunswick,625,2,-0.562,3,-0.464,3,0.027,4,0.071
13050124,New Brunswick,605,4,0.385,1,-0.905,4,0.276,5,0.899
13050125,New Brunswick,450,1,-0.909,2,-0.784,2,-0.746,2,-0.428
13050126,New Brunswick,490,3,-0.278,2,-0.746,3,-0.127,5,0.498
13050127,New Brunswick,565,4,0.185,1,-0.818,4,0.513,2,-0.471
13050128,New Brunswick,435,3,-0.086,2,-0.783,3,-0.031,1,-0.802
13050129,New Brunswick,630,2,-0.707,2,-0.741,1,-1.189,1,-0.903
13050130,New Brunswick,610,2,-0.559,2,-0.781,2,-0.468,1,-0.677
13050132,New Brunswick,485,1,-1.172,1,-1.002,1,-1.318,1,-1.114
13050133,New Brunswick,565,1,-0.98,1,-0.841,2,-0.713,2,-0.635
13050134,New Brunswick,510,5,0.881,2,-0.565,5,1.006,3,-0.273
13050135,New Brunswick,405,4,0.546,1,-0.943,5,1.154,1,-0.69
13050136,New Brunswick,430,5,0.879,3,-0.389,3,-0.271,3,-0.024
13050137,New Brunswick,400,5,0.865,1,-0.846,2,-0.607,4,0.341
13050138,New Brunswick,375,2,-0.653,1,-0.847,1,-1.01,1,-0.747
13050139,New Brunswick,560,2,-0.778,2,-0.55,3,-0.256,1,-0.821
13050140,New Brunswick,410,1,-0.997,2,-0.658,1,-1.059,1,-1.095
13050141,New Brunswick,455,2,-0.801,1,-1.02,1,-1.178,2,-0.629
13050142,New Brunswick,215,2,-0.53,1,-0.808,5,1.018,3,-0.267
13050143,New Brunswick,500,1,-0.869,1,-0.789,1,-1.115,3,-0.147
13050144,New Brunswick,380,1,-1.096,1,-0.943,2,-0.457,1,-0.764
13050145,New Brunswick,330,1,-1.059,1,-0.852,1,-0.776,1,-0.95
13050146,New Brunswick,265,3,-0.21,1,-0.97,3,-0.111,2,-0.406
13050147,New Brunswick,420,2,-0.77,2,-0.668,1,-0.963,3,-0.306
13050148,New Brunswick,335,2,-0.58,2,-0.762,2,-0.734,1,-0.668
13050149,New Brunswick,1365,1,-1.102,2,-0.698,2,-0.441,1,-0.911
13050150,New Brunswick,375,2,-0.492,1,-1.031,5,0.874,1,-0.935
13050151,New Brunswick,540,1,-1.405,1,-0.801,1,-1.031,1,-0.925
13050152,New Brunswick,470,1,-1.179,1,-0.871,2,-0.372,1,-1.036
13050153,New Brunswick,285,3,-0.473,1,-1.096,3,0.112,1,-1.049
13050157,New Brunswick,960,1,-1.205,3,-0.252,1,-1.258,1,-0.838
13050159,New Brunswick,2080,1,-1.04,3,-0.238,1,-2.034,1,-1.12
13050160,New Brunswick,480,1,-1.06,3,-0.516,2,-0.408,1,-1.001
13050164,New Brunswick,495,1,-1.075,1,-1.024,1,-1.139,1,-0.827
13050166,New Brunswick,425,1,-1.076,2,-0.676,2,-0.579,2,-0.481
13050167,New Brunswick,415,1,-1.017,1,-0.946,1,-0.99,3,-0.138
13050168,New Brunswick,425,3,-0.439,1,-0.96,4,0.48,1,-0.818
13050169,New Brunswick,455,1,-1.322,1,-0.934,1,-1.462,1,-0.939
13050170,New Brunswick,460,1,-0.852,1,-0.953,2,-0.35,1,-0.956
13050173,New Brunswick,330,5,1.377,2,-0.606,5,1.157,2,-0.486
13050174,New Brunswick,490,2,-0.51,1,-0.873,2,-0.677,1,-0.687
13050175,New Brunswick,560,2,-0.795,1,-1.007,2,-0.594,4,0.217
13050176,New Brunswick,370,1,-0.831,2,-0.701,4,0.249,4,0.204
13050177,New Brunswick,945,2,-0.6,1,-0.956,4,0.173,2,-0.465
13050178,New Brunswick,445,1,-0.917,1,-1.282,1,-1.126,1,-1.004
13050179,New Brunswick,420,1,-1.299,1,-0.829,1,-0.923,2,-0.351
13050180,New Brunswick,380,2,-0.637,1,-1.02,3,-0.138,2,-0.508
13050181,New Brunswick,1295,1,-0.965,1,-0.959,1,-1.026,2,-0.52
13050182,New Brunswick,390,5,1.003,2,-0.624,2,-0.639,5,0.544
13050183,New Brunswick,650,1,-0.83,1,-0.825,3,-0.138,3,-0.243
13050184,New Brunswick,430,4,0.026,1,-0.817,4,0.423,3,-0.298
13050185,New Brunswick,545,1,-0.907,1,-1.046,3,0.019,2,-0.585
13050186,New Brunswick,405,2,-0.775,1,-0.945,4,0.37,2,-0.368
13050187,New Brunswick,455,2,-0.577,1,-1.061,1,-0.913,3,-0.235
13050188,New Brunswick,330,3,-0.453,1,-1.109,1,-1.21,3,-0.155
13050189,New Brunswick,625,3,-0.344,1,-0.903,4,0.587,4,0.434
13050190,New Brunswick,420,2,-0.595,1,-1.098,5,1.13,3,-0.232
13050191,New Brunswick,665,2,-0.603,1,-0.961,3,-0.228,3,-0.294
13050192,New Brunswick,725,2,-0.618,1,-0.887,4,0.192,3,-0.176
13050193,New Brunswick,570,2,-0.661,1,-0.957,4,0.333,4,0.296
13050194,New Brunswick,370,2,-0.817,1,-0.942,5,0.728,2,-0.582
13050195,New Brunswick,550,2,-0.803,1,-0.959,2,-0.45,3,-0.325
13050196,New Brunswick,505,1,-1.143,1,-0.976,4,0.261,1,-0.922
13050197,New Brunswick,620,2,-0.526,1,-0.829,3,-0.111,4,0.296
13050198,New Brunswick,545,3,-0.262,1,-0.801,1,-0.905,4,0.1
13050199,New Brunswick,590,4,0.04,1,-0.916,3,-0.006,3,-0.229
13050200,New Brunswick,335,4,0.159,1,-1.044,5,0.779,2,-0.637
13050201,New Brunswick,565,3,-0.32,1,-0.81,5,1.182,3,-0.248
13050202,New Brunswick,415,3,-0.267,1,-0.879,2,-0.721,4,0.16
13050203,New Brunswick,750,2,-0.772,1,-0.978,1,-0.949,2,-0.634
13050204,New Brunswick,670,2,-0.687,2,-0.788,5,1.241,3,-0.019
13050205,New Brunswick,540,3,-0.403,1,-0.907,3,-0.247,3,-0.322
13050206,New Brunswick,515,3,-0.43,1,-0.854,1,-0.821,5,0.518
13050207,New Brunswick,560,2,-0.668,1,-1.002,3,-0.079,3,-0.108
13050208,New Brunswick,290,1,-0.957,1,-1.107,4,0.279,2,-0.612
13050209,New Brunswick,310,3,-0.129,1,-0.851,4,0.67,5,0.553
13050210,New Brunswick,450,3,-0.367,1,-0.945,4,0.184,2,-0.529
13050211,New Brunswick,460,2,-0.574,1,-0.898,4,0.3,5,0.567
13050212,New Brunswick,400,3,-0.171,1,-1.194,4,0.424,4,0.277
13050213,New Brunswick,510,5,1.405,2,-0.75,3,-0.035,4,0.404
13050214,New Brunswick,600,4,0.172,1,-0.905,5,1.309,3,-0.328
13050215,New Brunswick,1130,2,-0.696,1,-0.81,1,-0.863,1,-0.99
13050218,New Brunswick,1765,4,0.242,2,-0.784,2,-0.707,3,-0.252
13050221,New Brunswick,455,2,-0.503,2,-0.753,1,-0.819,1,-1.015
13050223,New Brunswick,460,1,-1.294,1,-0.875,4,0.36,1,-0.994
13050224,New Brunswick,440,1,-1.03,1,-0.869,2,-0.511,1,-0.706
13050226,New Brunswick,565,1,-1.016,1,-1.004,4,0.394,1,-0.758
13050228,New Brunswick,640,2,-0.753,2,-0.63,1,-1.76,1,-0.959
13050229,New Brunswick,710,1,-1.099,2,-0.727,1,-0.91,1,-0.762
13050232,New Brunswick,550,2,-0.784,1,-1.1,2,-0.388,2,-0.611
13050233,New Brunswick,620,1,-0.975,1,-0.896,2,-0.703,1,-0.837
13060001,New Brunswick,485,2,-0.824,1,-0.909,2,-0.679,3,-0.244
13060002,New Brunswick,415,1,-1.013,1,-0.877,3,-0.113,4,0.178
13060003,New Brunswick,530,4,0.057,2,-0.726,4,0.38,3,-0.044
13060004,New Brunswick,2270,3,-0.23,2,-0.6,1,-1.177,2,-0.599
13060005,New Brunswick,230,3,-0.28,1,-1.352,4,0.68,1,-0.919
13060006,New Brunswick,435,3,-0.261,2,-0.631,2,-0.476,3,-0.069
13060007,New Brunswick,2185,3,-0.443,2,-0.767,2,-0.426,1,-0.684
13060008,New Brunswick,530,3,-0.438,1,-0.904,2,-0.632,2,-0.631
13060009,New Brunswick,650,4,-0.024,2,-0.616,4,0.557,2,-0.562
13060010,New Brunswick,500,3,-0.377,1,-1.015,1,-0.991,3,-0.295
13060011,New Brunswick,420,4,0.699,1,-0.826,1,-1.051,4,0.287
13060012,New Brunswick,425,4,0.403,1,-0.966,3,0.075,2,-0.449
13060013,New Brunswick,390,3,-0.349,1,-1.07,3,-0.229,2,-0.501
13060014,New Brunswick,975,5,1.031,1,-0.794,4,0.389,2,-0.465
13060017,New Brunswick,520,2,-0.637,1,-0.967,4,0.438,3,-0.079
13060018,New Brunswick,460,3,-0.241,1,-1.099,3,0.047,3,-0.141
13060019,New Brunswick,590,4,0.236,2,-0.622,2,-0.446,2,-0.401
13060020,New Brunswick,545,5,1.308,2,-0.53,3,-0.123,3,-0.277
13060021,New Brunswick,400,3,-0.42,2,-0.708,3,-0.291,3,-0.146
13060022,New Brunswick,380,4,0.702,1,-0.905,4,0.166,2,-0.44
13060023,New Brunswick,430,2,-0.728,3,-0.216,2,-0.588,2,-0.433
13060024,New Brunswick,360,1,-0.999,1,-1.049,1,-1.015,1,-0.767
13060025,New Brunswick,585,2,-0.778,1,-1.049,1,-1.508,2,-0.416
13060026,New Brunswick,370,2,-0.677,1,-0.802,2,-0.473,4,0.187
13060027,New Brunswick,960,1,-1.107,1,-1.005,2,-0.669,1,-0.665
13060028,New Brunswick,840,1,-0.852,1,-0.789,4,0.179,1,-0.682
13060029,New Brunswick,1090,4,0.274,2,-0.625,4,0.532,2,-0.334
13060030,New Brunswick,770,5,2.508,4,-0.019,4,0.352,3,-0.015
13060031,New Brunswick,475,4,0.056,1,-0.876,5,1.462,2,-0.468
13060032,New Brunswick,500,3,-0.48,2,-0.618,1,-1.363,2,-0.513
13060052,New Brunswick,565,3,-0.204,2,-0.778,2,-0.663,4,0.092
13060053,New Brunswick,635,2,-0.82,2,-0.766,2,-0.538,2,-0.505
13060054,New Brunswick,550,2,-0.716,1,-0.887,2,-0.375,2,-0.45
13060055,New Brunswick,750,1,-0.85,1,-0.906,2,-0.714,2,-0.398
13060056,New Brunswick,480,2,-0.673,1,-0.931,3,-0.013,4,0.398
13060057,New Brunswick,445,3,-0.473,1,-1.059,4,0.576,2,-0.439
13060058,New Brunswick,435,4,0.043,1,-0.943,4,0.388,4,0.035
13060059,New Brunswick,425,4,0.432,2,-0.78,4,0.468,3,-0.035
13060060,New Brunswick,465,2,-0.66,1,-0.997,3,-0.011,4,0.366
13060061,New Brunswick,185,2,-0.555,1,-1.034,5,1.735,4,0.23
13060062,New Brunswick,400,3,-0.462,1,-0.98,3,-0.117,4,0.439
13060063,New Brunswick,255,4,0.219,1,-1.066,5,1.232,5,1.022
13060064,New Brunswick,395,2,-0.504,1,-0.838,5,1.223,5,0.625
13060065,New Brunswick,270,3,-0.335,1,-0.918,5,1.401,3,-0.159
13060067,New Brunswick,595,3,-0.217,1,-0.879,5,0.883,5,0.469
13060068,New Brunswick,465,2,-0.524,1,-0.956,5,1.245,4,0.147
13060069,New Brunswick,385,3,-0.192,1,-0.799,5,1.316,5,0.991
13060070,New Brunswick,515,2,-0.758,1,-0.823,2,-0.607,3,-0.103
13060071,New Brunswick,580,2,-0.647,1,-0.793,2,-0.508,4,0.387
13060072,New Brunswick,925,1,-0.858,1,-0.949,3,-0.148,1,-0.671
13060073,New Brunswick,425,2,-0.629,1,-0.939,4,0.512,3,-0.174
13060074,New Brunswick,455,2,-0.637,1,-0.917,4,0.463,4,0.428
13070033,New Brunswick,715,5,0.837,4,0.451,3,0.018,4,0.281
13070034,New Brunswick,2395,3,-0.386,2,-0.54,1,-1.474,1,-1.017
13070035,New Brunswick,1905,2,-0.603,2,-0.747,1,-1.246,1,-0.817
13070036,New Brunswick,955,4,0.238,2,-0.6,2,-0.661,2,-0.389
13070037,New Brunswick,525,5,2.649,4,0.13,1,-1.383,3,-0.139
13070038,New Brunswick,205,4,0.356,4,0.634,3,0.029,5,0.693
13070039,New Brunswick,2300,5,1.874,4,0.328,3,-0.174,2,-0.435
13070040,New Brunswick,565,4,0.363,2,-0.61,5,1.642,4,0.05
13070041,New Brunswick,485,5,0.97,4,0.02,2,-0.346,4,0.278
13070042,New Brunswick,465,5,1.351,3,-0.154,4,0.195,3,-0.316
13070043,New Brunswick,390,2,-0.629,2,-0.611,1,-0.881,1,-0.811
